#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 3373, 11,    -0.14, 3,   boost,   28.28,  88047.00, 1169.04,   22.27,   61.81, 26.0, 8.06, 7.99, 8.06
6, 3373, 11,    -0.13, 3,   boost,   29.72,  88027.00, 1170.91,   24.13,   62.41, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,    -0.12, 3,   boost,   31.21,  88033.00, 1170.35,   23.57,   63.01, 26.0, 8.06, 7.97, 8.02
6, 3373, 11,    -0.11, 3,   boost,   32.75,  88007.00, 1172.77,   26.00,   63.62, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,    -0.10, 3,   boost,   34.33,  87988.00, 1174.55,   27.77,   64.23, 26.0, 8.05, 7.96, 8.03
6, 3373, 11,    -0.09, 3,   boost,   35.96,  87979.00, 1175.39,   28.61,   64.85, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,    -0.08, 3,   boost,   37.62,  87959.00, 1177.25,   30.48,   65.47, 26.0, 8.06, 7.97, 8.03
6, 3373, 11,    -0.07, 3,   boost,   39.31,  87943.00, 1178.75,   31.97,   66.10, 26.0, 8.06, 7.97, 8.03
6, 3373, 11,    -0.06, 3,   boost,   41.03,  87924.00, 1180.52,   33.75,   66.73, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,    -0.05, 3,   boost,   42.78,  87902.00, 1182.57,   35.80,   67.36, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,    -0.04, 3,   boost,   44.54,  87881.00, 1184.54,   37.76,   68.00, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,    -0.03, 3,   boost,   46.30,  87861.00, 1186.40,   39.63,   68.64, 26.0, 8.05, 7.99, 8.05
6, 3373, 11,    -0.02, 3,   boost,   48.07,  87836.00, 1188.74,   41.97,   69.29, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,    -0.01, 3,   boost,   49.83,  87807.00, 1191.45,   44.68,   69.94, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.00, 3,   boost,   51.57,  87771.00, 1194.82,   48.04,   70.59, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.01, 3,   boost,   53.29,  87727.00, 1198.93,   52.16,   71.25, 26.0, 8.05, 7.97, 8.03
6, 3373, 11,     0.02, 3,   boost,   54.98,  87687.00, 1202.67,   55.90,   71.92, 26.0, 8.05, 7.96, 8.02
6, 3373, 11,     0.03, 3,   boost,   56.62,  87642.00, 1206.89,   60.11,   72.58, 26.0, 8.06, 7.97, 8.02
6, 3373, 11,     0.04, 3,   boost,   58.21,  87606.00, 1210.26,   63.48,   73.25, 26.0, 8.05, 7.97, 8.02
6, 3373, 11,     0.05, 3,   boost,   59.74,  87559.00, 1214.66,   67.88,   73.93, 26.0, 8.05, 7.97, 8.02
6, 3373, 11,     0.06, 3,   boost,   61.20,  87530.00, 1217.38,   70.60,   74.61, 26.0, 8.03, 7.97, 8.02
6, 3373, 11,     0.07, 3,   boost,   62.58,  87498.00, 1220.38,   73.60,   75.29, 26.0, 8.03, 7.96, 8.02
6, 3373, 11,     0.08, 3,   boost,   63.88,  87459.00, 1224.03,   77.26,   75.98, 26.0, 8.05, 7.96, 8.03
6, 3373, 11,     0.09, 3,   boost,   65.10,  87419.00, 1227.78,   81.01,   76.67, 26.0, 8.08, 7.97, 8.00
6, 3373, 11,     0.10, 3,   boost,   66.22,  87377.00, 1231.73,   84.95,   77.36, 26.0, 8.05, 7.96, 8.05
6, 3373, 11,     0.11, 3,   boost,   67.24,  87349.00, 1234.35,   87.58,   78.06, 26.0, 8.05, 7.96, 8.05
6, 3373, 11,     0.12, 3,   boost,   68.17,  87296.00, 1239.33,   92.56,   78.76, 26.0, 8.03, 7.94, 8.00
6, 3373, 11,     0.13, 3,   boost,   69.00,  87248.00, 1243.84,   97.06,   79.46, 26.0, 8.05, 7.97, 7.99
6, 3373, 11,     0.14, 3,   boost,   69.73,  87218.00, 1246.66,   99.88,   80.17, 26.0, 8.03, 7.97, 8.02
6, 3373, 11,     0.15, 3,   boost,   70.36,  87164.00, 1251.73,  104.96,   80.88, 26.0, 8.03, 7.97, 8.00
6, 3373, 11,     0.16, 3,   boost,   70.90,  87128.00, 1255.12,  108.35,   81.59, 26.0, 8.05, 7.96, 8.03
6, 3373, 11,     0.17, 3,   boost,   71.36,  87083.00, 1259.35,  112.58,   82.31, 26.0, 8.05, 7.96, 8.00
6, 3373, 11,     0.18, 3,   boost,   71.73,  87049.00, 1262.55,  115.78,   83.03, 26.0, 8.05, 7.94, 8.00
6, 3373, 11,     0.19, 3,   boost,   72.02,  86989.00, 1268.20,  121.43,   83.75, 26.0, 8.03, 7.93, 7.99
6, 3373, 11,     0.20, 3,   boost,   72.25,  86957.00, 1271.22,  124.44,   84.47, 26.0, 8.03, 7.96, 8.00
6, 3373, 11,     0.21, 3,   boost,   72.41,  86900.00, 1276.59,  129.82,   85.20, 26.0, 8.02, 7.97, 8.02
6, 3373, 11,     0.22, 3,   boost,   72.52,  86860.00, 1280.36,  133.59,   85.93, 26.0, 8.03, 7.99, 8.03
6, 3373, 11,     0.23, 3,   boost,   72.59,  86797.00, 1286.30,  139.53,   86.66, 26.0, 8.05, 7.96, 8.00
6, 3373, 11,     0.24, 3,   boost,   72.62,  86766.00, 1289.23,  142.46,   87.39, 26.0, 8.06, 7.96, 8.00
6, 3373, 11,     0.25, 3,   boost,   72.62,  86740.00, 1291.68,  144.91,   88.12, 26.0, 8.06, 7.93, 7.99
6, 3373, 11,     0.26, 3,   boost,   72.59,  86701.00, 1295.37,  148.59,   88.86, 26.0, 8.03, 7.96, 8.05
6, 3373, 11,     0.27, 3,   boost,   72.56,  86675.00, 1297.82,  151.05,   89.60, 26.0, 8.03, 7.96, 8.02
6, 3373, 11,     0.28, 3,   boost,   72.51,  86645.00, 1300.66,  153.88,   90.33, 26.0, 8.02, 7.99, 8.03
6, 3373, 11,     0.29, 3,   boost,   72.46,  86619.00, 1303.11,  156.34,   91.07, 26.0, 8.05, 7.96, 8.05
6, 3373, 11,     0.30, 3,   boost,   72.40,  86615.00, 1303.49,  156.72,   91.81, 26.0, 8.05, 7.96, 8.02
6, 3373, 11,     0.31, 3,   boost,   72.36,  86594.00, 1305.48,  158.70,   92.56, 26.0, 8.05, 7.96, 8.02
6, 3373, 11,     0.32, 3,   boost,   72.31,  86585.00, 1306.33,  159.55,   93.30, 26.0, 8.05, 7.97, 8.02
6, 3373, 11,     0.33, 3,   boost,   72.28,  86565.00, 1308.22,  161.44,   94.04, 26.0, 8.05, 7.97, 8.05
6, 3373, 11,     0.34, 3,   boost,   72.26,  86548.00, 1309.83,  163.05,   94.78, 26.0, 8.03, 7.97, 8.03
6, 3373, 11,     0.35, 3,   boost,   72.24,  86536.00, 1310.96,  164.19,   95.53, 26.0, 8.05, 7.96, 8.02
6, 3373, 11,     0.36, 3,   boost,   72.24,  86552.00, 1309.45,  162.67,   96.27, 26.0, 8.05, 7.97, 8.05
