Time, BMPtemp, BMPpresh, BMPalt, IMUaccelX, IMUaccelY, IMUaccelZ, GyGloblX, GyGloblY, GyGloblZ, GyroDltX, GyroDltY, GyroDltZ, AcceloX, AcceloY, AcceloZ, ExpIMUAccelYStp, CycStp
870,22.10,837.87,1574.68,-0.08,-9.98,-0.11,0.00,-0.00,-0.01,0.00,-0.00,-0.01,3.84,13.45,-0.96,0,0
1467,22.22,881.36,1160.96,0.14,-10.06,-0.22,-0.01,-0.02,-0.00,-0.01,-0.02,0.01,0.96,12.97,-1.92,0,1
2055,22.22,881.34,1161.09,-0.47,-10.06,-0.33,-0.02,-0.06,-0.01,-0.01,-0.04,-0.01,0.48,12.97,-2.40,0,2
2643,22.22,881.34,1161.13,0.66,-9.98,0.17,-0.03,-0.07,-0.02,-0.01,-0.01,-0.01,1.92,12.97,-1.92,0,3
3226,22.22,881.35,1161.05,0.26,-9.99,0.38,-0.03,-0.07,-0.01,-0.00,0.01,0.01,1.44,13.45,-1.92,0,4
3810,22.22,881.35,1161.04,0.16,-9.95,0.32,-0.05,-0.06,-0.02,-0.01,0.01,-0.01,0.96,12.97,-2.40,1,5
4393,22.22,881.36,1160.95,0.34,-10.06,-0.07,-0.05,-0.10,-0.03,-0.00,-0.04,-0.01,1.44,12.97,-1.92,2,6
4981,22.22,881.36,1160.97,0.10,-10.07,-0.18,-0.06,-0.08,-0.03,-0.01,0.01,-0.00,0.96,13.45,-2.88,0,7
5570,22.22,881.36,1160.90,0.05,-10.00,-0.06,-0.06,-0.10,-0.03,-0.00,-0.02,-0.01,1.44,12.97,-1.92,1,8
6158,22.22,881.36,1160.97,0.15,-10.03,-0.07,-0.08,-0.11,-0.03,-0.02,-0.01,0.00,1.92,13.94,-2.40,0,9
6746,22.22,881.39,1160.68,0.02,-10.04,-0.05,-0.08,-0.13,-0.03,0.00,-0.01,-0.00,0.96,12.49,-2.40,0,10
7335,22.22,881.43,1160.30,0.08,-10.02,-0.35,-0.09,-0.14,-0.04,-0.00,-0.01,-0.01,0.48,12.97,-2.88,1,11
7923,22.22,881.43,1160.27,-0.03,-10.08,-0.02,-0.09,-0.14,-0.03,-0.01,-0.00,0.01,0.96,12.97,-1.92,2,12
8511,22.22,881.46,1160.02,0.05,-10.06,0.09,-0.09,-0.16,-0.03,-0.00,-0.02,0.00,1.44,12.97,-2.88,0,13
9100,22.22,881.48,1159.80,-0.01,-10.05,-0.02,-0.10,-0.16,-0.03,-0.00,0.00,0.00,0.96,12.97,-1.92,0,14
9689,22.22,881.51,1159.57,0.00,-10.03,-0.19,-0.11,-0.17,-0.03,-0.01,-0.01,0.00,0.96,12.97,-1.92,0,15
10277,22.22,881.52,1159.41,-0.08,-10.06,-0.10,-0.11,-0.16,-0.02,-0.01,0.01,0.00,0.96,13.45,-1.92,1,16
10865,22.22,881.53,1159.32,-0.13,-10.03,-0.17,-0.11,-0.17,-0.02,0.00,-0.01,0.00,0.96,13.45,-1.92,2,17
11453,22.22,881.54,1159.26,0.13,-10.00,-0.17,-0.11,-0.19,-0.02,-0.00,-0.02,0.00,3.36,13.45,-1.44,0,18
12042,22.22,881.54,1159.27,0.00,-10.02,0.07,-0.11,-0.20,-0.02,0.00,-0.02,-0.00,0.96,12.97,-2.40,0,19
12630,22.22,881.55,1159.21,0.06,-9.98,-0.11,-0.12,-0.20,-0.02,-0.00,0.00,0.01,1.44,12.49,-2.40,1,20
