Time, BMPtemp, BMPpresh, BMPalt, IMUaccelX, IMUaccelY, IMUaccelZ, GyGloblX, GyGloblY, GyGloblZ, GyroDltX, GyroDltY, GyroDltZ, AcceloX, AcceloY, AcceloZ, ExpIMUAccelYStp, CycStp
Time: 870, BMP Temp: 22.10, BMP Pressure: 837.87, BMP Altitude: 1574.68, IMU Accel X Y Z: -0.08,-9.98,-0.11, Global X Y Z: 0.00,-0.00,-0.01, Gyro Dlt X Y Z: 0.00,-0.00,-0.01, Accelo X Y Z: 3.84,13.45,-0.96, LinDlta Loop Y Accel: 0, Cycle couCycle count: 0
Time: 1467, BMP Temp: 22.22, BMP Pressure: 881.36, BMP Altitude: 1160.96, IMU Accel X Y Z: 0.14,-10.06,-0.22, Global X Y Z: -0.01,-0.02,-0.00, Gyro Dlt X Y Z: -0.01,-0.02,0.01, Accelo X Y Z: 0.96,12.97,-1.92, LinDlta Loop Y Accel: 0, Cycle couCycle count: 1
Time: 2055, BMP Temp: 22.22, BMP Pressure: 881.34, BMP Altitude: 1161.09, IMU Accel X Y Z: -0.47,-10.06,-0.33, Global X Y Z: -0.02,-0.06,-0.01, Gyro Dlt X Y Z: -0.01,-0.04,-0.01, Accelo X Y Z: 0.48,12.97,-2.40, LinDlta Loop Y Accel: 0, Cycle couCycle count: 2
Time: 2643, BMP Temp: 22.22, BMP Pressure: 881.34, BMP Altitude: 1161.13, IMU Accel X Y Z: 0.66,-9.98,0.17, Global X Y Z: -0.03,-0.07,-0.02, Gyro Dlt X Y Z: -0.01,-0.01,-0.01, Accelo X Y Z: 1.92,12.97,-1.92, LinDlta Loop Y Accel: 0, Cycle couCycle count: 3
Time: 3226, BMP Temp: 22.22, BMP Pressure: 881.35, BMP Altitude: 1161.05, IMU Accel X Y Z: 0.26,-9.99,0.38, Global X Y Z: -0.03,-0.07,-0.01, Gyro Dlt X Y Z: -0.00,0.01,0.01, Accelo X Y Z: 1.44,13.45,-1.92, LinDlta Loop Y Accel: 0, Cycle couCycle count: 4
Time: 3810, BMP Temp: 22.22, BMP Pressure: 881.35, BMP Altitude: 1161.04, IMU Accel X Y Z: 0.16,-9.95,0.32, Global X Y Z: -0.05,-0.06,-0.02, Gyro Dlt X Y Z: -0.01,0.01,-0.01, Accelo X Y Z: 0.96,12.97,-2.40, LinDlta Loop Y Accel: 1, Cycle couCycle count: 5
Time: 4393, BMP Temp: 22.22, BMP Pressure: 881.36, BMP Altitude: 1160.95, IMU Accel X Y Z: 0.34,-10.06,-0.07, Global X Y Z: -0.05,-0.10,-0.03, Gyro Dlt X Y Z: -0.00,-0.04,-0.01, Accelo X Y Z: 1.44,12.97,-1.92, LinDlta Loop Y Accel: 2, Cycle couCycle count: 6
Time: 4981, BMP Temp: 22.22, BMP Pressure: 881.36, BMP Altitude: 1160.97, IMU Accel X Y Z: 0.10,-10.07,-0.18, Global X Y Z: -0.06,-0.08,-0.03, Gyro Dlt X Y Z: -0.01,0.01,-0.00, Accelo X Y Z: 0.96,13.45,-2.88, LinDlta Loop Y Accel: 0, Cycle couCycle count: 7
Time: 5570, BMP Temp: 22.22, BMP Pressure: 881.36, BMP Altitude: 1160.90, IMU Accel X Y Z: 0.05,-10.00,-0.06, Global X Y Z: -0.06,-0.10,-0.03, Gyro Dlt X Y Z: -0.00,-0.02,-0.01, Accelo X Y Z: 1.44,12.97,-1.92, LinDlta Loop Y Accel: 1, Cycle couCycle count: 8
Time: 6158, BMP Temp: 22.22, BMP Pressure: 881.36, BMP Altitude: 1160.97, IMU Accel X Y Z: 0.15,-10.03,-0.07, Global X Y Z: -0.08,-0.11,-0.03, Gyro Dlt X Y Z: -0.02,-0.01,0.00, Accelo X Y Z: 1.92,13.94,-2.40, LinDlta Loop Y Accel: 0, Cycle couCycle count: 9
