,Time, BMPtemp, BMPpresh, BMPalt, IMUaccelX, IMUaccelY, IMUaccelZ, GyGloblX, GyGloblY, GyGloblZ, GyroDltX, GyroDltY, GyroDltZ, AcceloX, AcceloY, AcceloZ, ExpIMUAccelYStp, CycStp,Speed
0,0.0,25.41,881.48,1159.78,0.13,10.01,0.06,-10.87,-21.8,3.76,-0.01,-0.01,0.01,1.44,12.97,-1.92,0,1,0.0
1,0.6,25.41,881.46,1159.99,-0.91,107.84,6.68,-11.55,-23.35,3.98,-0.68,-1.55,0.22,-0.96,109.08,-0.96,0,2,35.355000000000004
2,1.206,25.41,881.2,1162.42,-16.08,112.67,3.32,-13.02,-25.36,4.27,-1.46,-2.01,0.29,-13.45,119.17,0.0,0,3,102.16953
3,1.812,25.41,877.11,1200.6,-3.87,107.6,4.2,-12.12,-30.81,4.05,0.9,-5.45,-0.22,-0.48,109.08,3.36,1,4,168.91134
4,2.417,25.4,873.71,1232.53,-3.73,104.44,3.13,-11.43,-30.39,3.76,0.69,0.42,-0.29,-0.96,107.16,3.36,0,5,233.05343999999997
5,3.023,25.4,869.43,1272.79,-1.97,103.11,-0.22,-11.51,-26.37,3.97,-0.07,4.02,0.21,-0.48,102.83,-0.48,0,6,295.94109000000003
6,3.628,25.39,862.74,1336.03,-0.92,96.06,0.5,-11.71,-22.12,4.13,-0.21,4.25,0.16,-0.48,99.47,-0.96,0,7,356.190015
7,4.234,25.38,854.54,1414.11,0.28,64.95,6.29,-11.55,-18.21,2.24,0.16,3.91,-1.89,0.96,68.23,-2.4,0,8,404.976045
8,4.834,25.38,826.68,1683.87,0.9,0.27,7.3,-11.5,-14.36,-0.35,0.05,3.85,-2.59,1.92,0.0,6.25,0,9,424.542045
9,5.447,25.36,803.52,1913.94,-1.04,-37.4,0.0,-11.62,-9.47,-0.49,-0.12,4.88,-0.14,2.4,-31.71,-4.81,0,10,413.16169999999994
10,6.053,25.35,780.67,2146.17,0.8,-24.21,-5.93,-11.52,-4.86,-0.38,0.1,4.62,0.11,1.92,-24.03,-2.4,0,11,394.49386999999996
11,6.654,25.35,755.69,2406.4,2.63,-19.49,-0.27,-11.5,-0.05,-0.21,0.02,4.8,0.17,1.44,-14.42,-4.81,0,12,381.36202
12,7.255,25.34,750.16,2464.93,-1.77,-14.73,-0.21,-11.45,5.05,0.11,0.04,5.1,0.32,2.88,-11.53,-5.29,0,13,371.07890999999995
13,7.856,25.35,745.88,2510.46,-0.4,-10.46,0.08,-11.43,10.2,0.07,0.02,5.15,-0.05,1.92,-8.17,-3.84,0,14,363.50931499999996
14,8.457,25.35,738.37,2590.96,-1.49,-9.03,-3.16,-11.34,15.57,0.32,0.09,5.37,0.25,1.92,-6.73,-5.77,0,15,357.65256999999997
15,9.058,25.35,729.93,2682.15,-0.68,-10.4,-0.54,-11.34,21.31,0.42,-0.01,5.74,0.1,0.96,-5.29,-3.84,0,16,351.813855
16,9.659,25.34,720.8,2781.77,-0.66,-9.88,-0.45,-11.4,27.15,0.55,-0.06,5.84,0.14,3.84,-4.81,-5.29,0,17,345.719715
17,10.26,25.34,711.29,2886.64,0.2,-7.12,-1.88,-11.4,32.98,0.63,-0.0,5.83,0.08,1.44,-4.32,-3.84,0,18,340.611215
18,10.861,25.33,701.69,2993.71,-0.42,-9.07,0.1,-11.48,38.81,0.78,-0.08,5.84,0.15,1.44,-3.84,-5.29,0,19,335.74612
19,11.462,25.33,692.17,3101.0,-0.29,-7.19,-0.23,-11.43,44.53,1.03,0.05,5.71,0.25,1.44,-2.88,-3.36,0,20,330.85999000000004
20,12.063,25.32,682.9,3206.65,0.76,-6.47,-0.65,-11.54,50.21,1.15,-0.11,5.68,0.11,1.44,-2.4,-3.84,0,21,326.75516000000005
21,12.664,25.31,673.96,3309.69,1.03,-5.36,-1.46,-11.57,55.77,1.25,-0.03,5.56,0.1,1.92,-2.4,-3.36,0,22,323.20024500000005
22,13.265,25.31,665.44,3408.94,0.35,-5.09,-1.02,-11.63,61.18,1.36,-0.06,5.41,0.11,1.92,-2.88,-3.36,0,23,320.06002000000007
23,13.866,25.31,657.33,3504.24,0.7,-5.17,-1.76,-11.63,66.43,1.47,-0.0,5.25,0.12,2.4,-0.96,-4.32,0,24,316.9768900000001
