Minutes,Seconds, X (m/s^2),Y (m/s^2),Z (m/s^2),
0,0,1.92,12.97,-3.84,
0,0,1.92,13.45,-3.36,
0,0,1.92,13.45,-3.36,
0,0,1.92,13.45,-3.36,
0,0,1.92,13.45,-3.36,
0,0,1.92,13.45,-3.84,
0,0,1.44,13.94,-3.84,
0,0,1.44,13.94,-3.84,
0,0,1.44,13.94,-3.84,
0,0,1.44,13.94,-3.84,
0,0,1.92,13.45,-3.84,
0,0,1.92,13.45,-3.84,
0,0,1.92,12.97,-3.84,
0,0,1.92,12.97,-3.84,
0,0,1.92,12.97,-3.36,
0,0,1.44,13.94,-3.36,
0,0,1.44,13.94,-3.36,
0,0,2.4,13.94,-3.36,
0,0,2.4,13.94,-3.36,
0,0,2.4,12.97,-3.36,
0,0,2.4,12.97,-3.36,
0,0,1.44,12.97,-3.36,
0,0,1.44,12.97,-3.36,
0,0,1.92,12.97,-3.84,
0,0,1.92,12.97,-3.84,
0,0,1.92,12.97,-3.36,
0,0,1.92,12.97,-3.36,
0,0,1.92,12.97,-3.36,
0,0,1.44,13.94,-2.88,
0,0,1.44,13.94,-2.88,
0,0,2.4,12.49,-3.36,
0,0,2.4,12.49,-3.36,
0,0,0.96,13.94,-3.36,
0,0,0.96,13.94,-3.36,
0,0,1.92,13.45,-2.88,
0,0,1.92,13.45,-2.88,
0,0,1.44,13.45,-3.84,
0,0,1.44,13.45,-3.84,
0,0,1.92,13.45,-3.36,
0,0,1.92,13.45,-3.36,
0,0,1.92,13.45,-3.84,
0,0,1.92,13.45,-3.84,
0,0,1.92,13.45,-3.84,
0,0,1.92,13.94,-3.36,
0,0,1.92,13.94,-3.36,
0,0,2.4,13.94,-3.36,
0,0,2.4,13.94,-3.36,
0,0,2.4,13.45,-4.32,
0,0,2.4,13.45,-4.32,
0,0,1.92,12.97,-3.36,
0,0,1.92,12.97,-3.36,
0,0,1.92,12.97,-2.88,
0,0,1.44,12.97,-2.88,
0,0,1.44,12.97,-3.36,
0,0,1.92,12.97,-3.36,
0,0,1.92,12.97,-3.36,
0,0,1.92,12.49,-2.88,
0,0,1.92,12.49,-2.88,
0,0,1.44,13.45,-3.36,
0,0,1.44,13.45,-3.36,
0,0,1.92,13.45,-2.88,
0,0,1.92,13.45,-2.88,
0,0,1.92,12.97,-2.88,
0,0,1.92,12.97,-2.88,
0,0,1.92,12.97,-3.36,
0,0,1.92,12.97,-3.36,
0,0,1.92,12.97,-3.84,
0,0,1.92,13.45,-3.84,
0,0,1.92,13.45,-3.84,
0,0,1.92,13.45,-3.36,
0,0,1.92,13.45,-3.36,
0,0,1.92,13.45,-3.36,
0,0,1.92,13.45,-3.36,
0,0,1.44,13.45,-2.88,
0,0,1.44,13.45,-2.88,
0,0,1.92,12.97,-2.4,
0,0,1.92,12.97,-2.4,
0,0,1.92,12.97,-3.36,
0,0,1.92,12.97,-3.36,
0,0,1.92,13.45,-3.36,
0,0,1.44,13.45,-3.36,
0,0,1.44,13.45,-2.88,
0,0,1.44,12.97,-2.88,
0,0,1.44,12.97,-2.88,
0,0,1.92,13.45,-3.36,
0,0,1.92,13.45,-3.36,
0,0,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.49,-3.84,
0,1,1.92,12.49,-3.84,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.44,13.45,-3.84,
0,1,1.44,13.45,-3.84,
0,1,2.4,12.97,-3.36,
0,1,2.4,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
