Minutes,Seconds,Temp (?C),Pressure (hPa),Altitude (m)
0,0,22.1,837.87,1574.68
0,0,28.09,1014.76,-12.59
0,0,28.1,1014.76,-12.6
0,0,28.1,1014.76,-12.51
0,0,28.11,1014.75,-12.51
0,0,28.13,1014.76,-12.56
0,0,28.13,1014.76,-12.56
0,0,28.14,1014.76,-12.53
0,0,28.16,1014.76,-12.54
0,0,28.16,1014.76,-12.54
0,0,28.17,1014.75,-12.52
0,0,28.19,1014.75,-12.48
0,0,28.19,1014.75,-12.52
0,0,28.2,1014.75,-12.52
0,0,28.21,1014.76,-12.52
0,0,28.22,1014.75,-12.52
0,0,28.23,1014.75,-12.51
0,0,28.24,1014.76,-12.54
0,0,28.25,1014.76,-12.54
0,0,28.25,1014.76,-12.51
0,0,28.25,1014.75,-12.53
0,0,28.26,1014.76,-12.46
0,0,28.27,1014.75,-12.48
0,0,28.27,1014.75,-12.48
0,0,28.27,1014.75,-12.52
0,0,28.28,1014.76,-12.54
0,1,28.28,1014.76,-12.54
0,1,28.28,1014.76,-12.47
0,1,28.28,1014.75,-12.43
0,1,28.29,1014.74,-12.43
0,1,28.29,1014.73,-12.36
0,1,28.29,1014.73,-12.36
0,1,28.29,1014.74,-12.38
0,1,28.29,1014.74,-12.38
0,1,28.29,1014.74,-12.4
0,1,28.29,1014.74,-12.4
0,1,28.29,1014.74,-12.37
0,1,28.29,1014.73,-12.35
0,1,28.29,1014.74,-12.39
0,1,28.29,1014.74,-12.38
0,1,28.29,1014.74,-12.39
0,1,28.3,1014.74,-12.27
0,1,28.3,1014.72,-12.28
0,1,28.3,1014.73,-12.28
0,1,28.3,1014.73,-12.28
0,1,28.3,1014.73,-12.35
0,1,28.3,1014.74,-12.4
0,1,28.3,1014.74,-12.43
0,1,28.3,1014.74,-12.43
0,1,28.3,1014.74,-12.43
0,1,28.3,1014.74,-12.43
0,1,28.3,1014.74,-12.37
0,1,28.3,1014.74,-12.4
0,1,28.3,1014.74,-12.36
0,1,28.3,1014.73,-12.36
0,1,28.29,1014.73,-12.32
0,1,28.29,1014.73,-12.38
0,1,28.29,1014.74,-12.38
0,1,28.29,1014.73,-12.35
0,1,28.29,1014.73,-12.37
0,1,28.29,1014.74,-12.37
0,1,28.29,1014.74,-12.4
0,1,28.29,1014.74,-12.36
0,1,28.29,1014.74,-12.36
0,1,28.29,1014.74,-12.37
0,1,28.29,1014.74,-12.37
0,1,28.29,1014.74,-12.42
0,1,28.29,1014.74,-12.39
0,1,28.29,1014.74,-12.42
0,1,28.29,1014.74,-12.34
0,1,28.29,1014.73,-12.34
0,1,28.29,1014.74,-12.41
0,2,28.29,1014.74,-12.38
0,2,28.29,1014.74,-12.38
0,2,28.29,1014.73,-12.34
0,2,28.29,1014.73,-12.4
0,2,28.29,1014.74,-12.4
0,2,28.29,1014.74,-12.36
0,2,28.29,1014.74,-12.38
0,2,28.29,1014.74,-12.38
0,2,28.29,1014.74,-12.4
0,2,28.29,1014.74,-12.32
0,2,28.29,1014.73,-12.32
0,2,28.29,1014.73,-12.28
0,2,28.29,1014.73,-12.32
0,2,28.29,1014.73,-12.32
0,2,28.29,1014.74,-12.38
0,2,28.29,1014.74,-12.37
0,2,28.29,1014.74,-12.35
0,2,28.3,1014.73,-12.35
0,2,28.3,1014.73,-12.36
0,2,28.3,1014.74,-12.43
0,2,28.3,1014.74,-12.43
0,2,28.3,1014.74,-12.4
0,2,28.3,1014.74,-12.42
0,2,28.3,1014.74,-12.42
0,2,28.3,1014.74,-12.41
0,2,28.3,1014.74,-12.41
0,2,28.3,1014.75,-12.46
0,2,28.3,1014.75,-12.44
0,2,28.3,1014.75,-12.44
0,2,28.3,1014.75,-12.48
0,2,28.3,1014.75,-12.48
0,2,28.3,1014.75,-12.46
0,2,28.3,1014.74,-12.44
0,2,28.3,1014.74,-12.43
0,2,28.31,1014.74,-12.43
0,2,28.31,1014.73,-12.33
0,2,28.31,1014.74,-12.37
0,2,28.31,1014.74,-12.4
0,2,28.31,1014.74,-12.4
0,2,28.31,1014.74,-12.37
0,2,28.31,1014.74,-12.38
0,2,28.31,1014.74,-12.39
0,2,28.31,1014.74,-12.44
0,2,28.32,1014.75,-12.44
0,2,28.32,1014.75,-12.49
0,2,28.32,1014.75,-12.44
0,2,28.32,1014.75,-12.44
0,3,28.31,1014.75,-12.45
0,3,28.32,1014.74,-12.42
0,3,28.32,1014.74,-12.39
0,3,28.32,1014.74,-12.39
0,3,28.32,1014.74,-12.39
0,3,28.32,1014.74,-12.43
0,3,28.32,1014.74,-12.43
0,3,28.32,1014.75,-12.46
0,3,28.32,1014.75,-12.52
0,3,28.32,1014.76,-12.52
0,3,28.32,1014.76,-12.52
0,3,28.31,1014.75,-12.42
0,3,28.32,1014.74,-12.42
0,3,28.32,1014.74,-12.43
0,3,28.32,1014.74,-12.42
0,3,28.32,1014.74,-12.42
0,3,28.31,1014.74,-12.36
0,3,28.32,1014.74,-12.38
0,3,28.32,1014.74,-12.38
0,3,28.32,1014.74,-12.38
0,3,28.32,1014.74,-12.41
0,3,28.32,1014.74,-12.44
0,3,28.32,1014.74,-12.44
0,3,28.32,1014.74,-12.41
0,3,28.32,1014.74,-12.37
0,3,28.32,1014.74,-12.35
0,3,28.32,1014.73,-12.32
0,3,28.32,1014.73,-12.32
0,3,28.32,1014.74,-12.37
0,3,28.33,1014.74,-12.44
0,3,28.33,1014.74,-12.44
0,3,28.33,1014.74,-12.44
0,3,28.33,1014.74,-12.42
0,3,28.33,1014.74,-12.37
0,3,28.33,1014.74,-12.38
0,3,28.33,1014.74,-12.41
0,3,28.33,1014.74,-12.41
0,3,28.33,1014.74,-12.41
0,3,28.33,1014.74,-12.43
0,3,28.33,1014.74,-12.45
0,3,28.33,1014.75,-12.45
0,3,28.33,1014.74,-12.42
0,3,28.33,1014.74,-12.42
0,3,28.33,1014.74,-12.42
0,3,28.33,1014.75,-12.5
0,3,28.33,1014.75,-12.5
0,4,28.33,1014.75,-12.46
0,4,28.33,1014.75,-12.46
0,4,28.33,1014.75,-12.47
0,4,28.33,1014.75,-12.47
0,4,28.33,1014.75,-12.49
0,4,28.33,1014.75,-12.49
0,4,28.33,1014.75,-12.48
0,4,28.33,1014.75,-12.46
0,4,28.32,1014.75,-12.46
0,4,28.32,1014.75,-12.45
0,4,28.32,1014.74,-12.36
0,4,28.32,1014.74,-12.37
0,4,28.32,1014.74,-12.37
0,4,28.33,1014.75,-12.45
0,4,28.33,1014.75,-12.48
0,4,28.33,1014.75,-12.48
0,4,28.33,1014.74,-12.39
0,4,28.33,1014.74,-12.42
0,4,28.33,1014.74,-12.38
0,4,28.33,1014.74,-12.38
0,4,28.33,1014.75,-12.48
0,4,28.33,1014.75,-12.47
0,4,28.33,1014.75,-12.47
0,4,28.33,1014.74,-12.44
0,4,28.33,1014.74,-12.44
0,4,28.33,1014.75,-12.44
0,4,28.33,1014.75,-12.46
0,4,28.33,1014.75,-12.49
0,4,28.32,1014.75,-12.49
0,4,28.32,1014.76,-12.52
0,4,28.32,1014.76,-12.48
0,4,28.33,1014.75,-12.48
0,4,28.32,1014.75,-12.45
0,4,28.32,1014.75,-12.4
0,4,28.32,1014.74,-12.4
0,4,28.32,1014.74,-12.39
0,4,28.32,1014.74,-12.4
0,4,28.32,1014.74,-12.4
0,4,28.32,1014.75,-12.45
0,4,28.32,1014.75,-12.42
0,4,28.32,1014.74,-12.42
0,4,28.32,1014.74,-12.41
0,4,28.33,1014.74,-12.44
0,4,28.33,1014.74,-12.39
0,4,28.33,1014.74,-12.39
0,4,28.33,1014.74,-12.38
0,4,28.33,1014.74,-12.38
0,4,28.33,1014.74,-12.38
0,5,28.33,1014.74,-12.4
0,5,28.33,1014.74,-12.38
0,5,28.33,1014.74,-12.38
0,5,28.33,1014.74,-12.41
0,5,28.33,1014.74,-12.45
0,5,28.33,1014.75,-12.45
0,5,28.33,1014.75,-12.46
0,5,28.33,1014.75,-12.42
0,5,28.33,1014.74,-12.42
0,5,28.33,1014.75,-12.45
0,5,28.33,1014.75,-12.4
0,5,28.33,1014.74,-12.4
0,5,28.33,1014.74,-12.43
0,5,28.33,1014.74,-12.46
0,5,28.33,1014.75,-12.46
0,5,28.33,1014.75,-12.49
0,5,28.33,1014.75,-12.46
0,5,28.33,1014.75,-12.46
0,5,28.33,1014.74,-12.39
0,5,28.33,1014.74,-12.4
0,5,28.33,1014.74,-12.4
0,5,28.33,1014.74,-12.36
0,5,28.33,1014.74,-12.33
0,5,28.33,1014.73,-12.33
0,5,28.33,1014.73,-12.31
0,5,28.33,1014.73,-12.32
0,5,28.33,1014.73,-12.34
0,5,28.33,1014.73,-12.34
0,5,28.33,1014.74,-12.36
0,5,28.33,1014.74,-12.4
0,5,28.33,1014.74,-12.4
0,5,28.33,1014.74,-12.41
0,5,28.33,1014.74,-12.39
0,5,28.33,1014.74,-12.39
0,5,28.33,1014.74,-12.43
0,5,28.33,1014.74,-12.43
0,5,28.33,1014.74,-12.43
0,5,28.33,1014.74,-12.41
0,5,28.33,1014.74,-12.42
0,5,28.33,1014.74,-12.42
0,5,28.33,1014.74,-12.43
0,5,28.33,1014.74,-12.45
0,5,28.33,1014.75,-12.45
0,5,28.33,1014.75,-12.48
0,5,28.33,1014.75,-12.48
0,5,28.33,1014.75,-12.5
0,5,28.33,1014.75,-12.48
0,5,28.33,1014.75,-12.48
