Time: 851, BMP Temp: 22.10, BMP Pressure: 837.87, BMP Altitude: 1574.68, IMU Accel X: -0.07, IMU Accel Y: -10.03, IMU Accel Z: -0.24, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: -0.01, Accel X: 2.40, Accel Y: 12.97, Accel Z: -4.32
Time: 887, BMP Temp: 31.95, BMP Pressure: 1006.63, BMP Altitude: 55.28, IMU Accel X: -0.01, IMU Accel Y: -10.00, IMU Accel Z: -0.23, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -4.32
Time: 916, BMP Temp: 31.96, BMP Pressure: 1006.63, BMP Altitude: 55.30, IMU Accel X: -0.02, IMU Accel Y: -10.02, IMU Accel Z: -0.20, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 13.45, Accel Z: -4.32
Time: 945, BMP Temp: 31.97, BMP Pressure: 1006.61, BMP Altitude: 55.40, IMU Accel X: 0.11, IMU Accel Y: -10.01, IMU Accel Z: -0.23, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 12.97, Accel Z: -4.32
Time: 974, BMP Temp: 31.98, BMP Pressure: 1006.61, BMP Altitude: 55.44, IMU Accel X: -0.20, IMU Accel Y: -9.97, IMU Accel Z: -0.26, Gyro X: -0.01, Gyro Y: -0.00, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -4.81
Time: 1003, BMP Temp: 32.00, BMP Pressure: 1006.60, BMP Altitude: 55.48, IMU Accel X: 0.00, IMU Accel Y: -9.98, IMU Accel Z: -0.19, Gyro X: -0.01, Gyro Y: -0.00, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -3.84
Time: 1033, BMP Temp: 32.02, BMP Pressure: 1006.60, BMP Altitude: 55.48, IMU Accel X: -0.01, IMU Accel Y: -9.94, IMU Accel Z: -0.20, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 13.45, Accel Z: -3.84
Time: 1062, BMP Temp: 32.03, BMP Pressure: 1006.60, BMP Altitude: 55.52, IMU Accel X: -0.17, IMU Accel Y: -10.00, IMU Accel Z: -0.27, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.44, Accel Y: 13.94, Accel Z: -4.32
Time: 1091, BMP Temp: 32.05, BMP Pressure: 1006.59, BMP Altitude: 55.58, IMU Accel X: 0.09, IMU Accel Y: -10.08, IMU Accel Z: -0.18, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: -0.00, Accel X: 1.44, Accel Y: 13.45, Accel Z: -4.32
Time: 1120, BMP Temp: 32.06, BMP Pressure: 1006.59, BMP Altitude: 55.63, IMU Accel X: -0.18, IMU Accel Y: -10.02, IMU Accel Z: -0.25, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 2.40, Accel Y: 13.45, Accel Z: -4.32
Time: 1149, BMP Temp: 32.07, BMP Pressure: 1006.59, BMP Altitude: 55.61, IMU Accel X: -0.05, IMU Accel Y: -10.00, IMU Accel Z: -0.22, Gyro X: -0.00, Gyro Y: -0.00, Gyro Z: -0.00, Accel X: 1.44, Accel Y: 13.45, Accel Z: -3.84
